station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather,PM2.5,PM10,NO2,CO,O3,SO2
daxing,116.35444444444444,39.71861111111112,2017-01-30 16:00:00,-2.2,1027.7,15,226.0,2.3,Haze,109.0,120.0,30.0,1.3,46.0,36.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 17:00:00,-2.3,1027.3,16,227.0,2.3,Haze,117.0,128.0,32.0,1.4,42.0,50.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 18:00:00,-3.0,1026.9,18,216.0,1.9,Haze,119.0,125.0,31.0,1.5,41.0,55.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 19:00:00,-2.5,1026.4,17,224.0,2.1,Haze,124.0,129.0,33.0,1.6,35.0,49.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 20:00:00,-3.0,1025.4,19,207.0,1.0,Haze,121.0,127.0,32.0,1.6,35.5,38.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 21:00:00,-3.1,1025.2,20,211.0,1.4,Haze,122.0,125.0,26.0,1.6,36.0,30.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 22:00:00,-4.6,1024.6,23,234.0,0.7,Haze,122.0,123.0,29.0,1.8,31.0,28.0
daxing,116.35444444444444,39.71861111111112,2017-01-30 23:00:00,-5.6,1024.6,27,217.0,1.0,Haze,126.0,126.0,39.0,1.8,21.0,29.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 02:00:00,-1.1,1024.9,20,246.0,1.9,Haze,123.0,127.0,32.0,1.9,36.0,43.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 03:00:00,0.1,1024.7,16,264.0,1.6,Haze,127.0,116.33333333333331,31.0,1.8,48.0,48.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 04:00:00,1.9,1023.6,14,221.0,1.3,Haze,114.0,105.66666666666669,27.0,1.5,62.0,41.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 05:00:00,3.6,1022.5,12,136.0,1.4,Haze,89.0,95.0,23.0,1.2,73.0,32.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 06:00:00,4.3,1021.6,12,275.0,0.8,Sunny/clear,84.0,88.5,25.0,1.1,75.0,29.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 07:00:00,4.8,1021.3,12,211.0,1.2,Sunny/clear,75.0,82.0,25.0,0.1,77.0,26.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 08:00:00,4.6,1021.7,12,182.0,1.9,Sunny/clear,69.0,82.0,24.0,0.9,81.0,24.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 09:00:00,3.3,1022.5,15,222.0,1.7,Haze,81.0,105.0,27.0,0.1,84.0,30.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 10:00:00,1.5,1023.1,17,244.0,1.6,Haze,87.0,113.0,35.0,1.1,75.0,32.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 11:00:00,0.0,1023.8,20,260.0,2.1,Haze,88.0,114.0,36.0,1.1,70.0,34.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 12:00:00,0.4,1024.7,20,256.0,1.9,Haze,115.0,151.0,56.0,1.5,47.0,46.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 13:00:00,-2.0,1025.7,25,236.0,1.3,Haze,131.0,178.0,82.0,1.9,23.0,57.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 14:00:00,-4.3,1026.5,32,116.0,1.2,Haze,127.0,134.0,83.0,1.7,16.0,49.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 15:00:00,-0.3,1027.5,19,6.0,2.0,Sunny/clear,33.0,78.5,49.0,0.7,31.0,18.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 16:00:00,-0.3,1028.4,19,26.0,2.4,Sunny/clear,12.0,23.0,28.0,0.4,45.0,14.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 17:00:00,-1.0,1029.0,20,7.0,1.9,Sunny/clear,10.0,19.0,22.0,0.4,49.0,10.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 18:00:00,-0.9,1030.0,19,3.0,2.5,Sunny/clear,7.0,24.0,21.0,0.4,47.0,8.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 19:00:00,-1.3,1030.5,19,8.0,2.8,Sunny/clear,11.0,20.0,23.0,0.5,42.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 20:00:00,-1.7,1031.4,19,9.0,2.1,Sunny/clear,9.0,22.0,19.0,0.4,46.0,8.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 21:00:00,-2.6,1032.1,20,8.0,1.0,Sunny/clear,8.0,18.0,20.0,0.4,46.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 22:00:00,-4.4,1032.8,25,18.0,1.5,Sunny/clear,8.0,17.0,21.0,0.4,46.0,8.0
daxing,116.35444444444444,39.71861111111112,2017-01-31 23:00:00,-4.0,1033.4,25,41.0,2.9,Sunny/clear,6.0,18.0,29.0,0.5,40.0,8.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 00:00:00,-3.4,1034.2,24,43.0,3.4,Sunny/clear,6.0,25.0,32.0,0.4,41.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 01:00:00,-1.6,1034.8,20,39.0,3.8,Sunny/clear,8.0,17.0,35.0,0.4,41.0,9.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 02:00:00,-0.2,1035.2,16,25.0,3.2,Sunny/clear,6.0,16.0,23.0,0.3,54.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 03:00:00,1.0,1035.0,14,31.0,3.4,Sunny/clear,6.0,14.0,18.0,0.4,59.0,6.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 04:00:00,1.4,1034.4,13,21.0,2.4,Sunny/clear,9.0,10.0,18.0,0.4,60.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 05:00:00,2.6,1033.6,12,70.0,1.5,Sunny/clear,8.0,14.0,20.0,0.4,60.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 06:00:00,3.7,1032.7,11,202.0,2.1,Sunny/clear,12.0,17.0,18.0,0.4,63.0,8.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 07:00:00,4.2,1032.1,11,209.0,1.6,Sunny/clear,13.0,23.0,15.0,0.4,68.0,7.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 08:00:00,3.9,1032.0,13,193.0,2.8,Sunny/clear,21.0,45.0,17.0,0.5,71.0,12.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 09:00:00,2.8,1031.7,15,226.0,2.1,Sunny/clear,46.0,73.0,25.0,0.7,70.0,18.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 10:00:00,1.3,1031.7,18,240.0,1.9,Sunny/clear,51.0,80.0,33.0,0.7,60.0,19.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 11:00:00,-0.4,1031.7,22,245.0,1.1,Haze,82.0,129.0,36.0,0.9,59.0,24.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 12:00:00,-3.7,1031.2,27,222.0,0.8,Haze,125.0,205.0,41.0,0.1,51.0,48.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 13:00:00,-3.2,1031.0,28,221.0,1.1,Haze,129.0,179.0,45.0,1.1,43.0,55.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 14:00:00,-5.3,1030.6,32,230.0,0.8,Haze,144.0,176.0,58.0,1.4,28.0,52.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 15:00:00,-6.7,1030.4,36,217.0,0.8,Haze,145.0,189.0,61.0,1.7,23.0,55.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 16:00:00,-7.2,1030.3,36,179.0,0.8,Haze,156.0,185.0,61.0,0.2,20.0,55.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 17:00:00,-5.0,1030.1,30,251.0,1.7,Haze,166.0,193.0,57.0,2.4,20.0,57.0
daxing,116.35444444444444,39.71861111111112,2017-02-01 18:00:00,-8.0,1029.9,39,251.0,0.9,Haze,174.0,208.0,62.0,2.7,15.0,57.0
