station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather,PM2.5,PM10,NO2,CO,O3,SO2
fangshan,116.19416666666667,39.77305555555555,2017-01-30 16:00:00,-2.6,1026.1,14,215.0,3.3,Haze,114.0,119.0,35.0,1.5,48.0,35.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 17:00:00,-2.7,1025.8,15,217.0,3.5,Haze,116.0,120.0,30.0,1.5,52.0,31.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 18:00:00,-2.8,1025.6,17,228.0,3.2,Haze,117.0,120.83333333333331,27.0,1.5,51.0,28.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 19:00:00,-2.8,1025.0,18,228.0,1.8,Haze,118.0,121.66666666666669,26.0,1.3,50.0,28.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 20:00:00,-3.1,1024.1,17,209.0,2.4,Haze,118.0,122.5,26.0,1.4,48.0,29.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 21:00:00,-3.9,1023.9,19,216.0,1.7,Haze,106.0,123.33333333333331,24.0,1.3,46.0,28.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 22:00:00,-4.7,1023.2,23,233.0,0.4,Haze,110.0,124.16666666666669,33.0,1.4,35.0,37.0
fangshan,116.19416666666667,39.77305555555555,2017-01-30 23:00:00,-6.0,1023.4,29,247.0,0.0,Haze,122.0,125.0,58.0,1.9,12.0,38.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 00:00:00,-6.4,1023.6,28,7.0,0.0,Haze,134.0,131.0,60.0,2.1,9.0,39.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 01:00:00,-3.4,1023.7,26,143.0,0.0,Haze,137.0,137.0,57.0,0.2,13.0,46.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 02:00:00,-0.8,1023.5,20,228.0,0.8,Haze,137.0,143.0,54.0,0.2,24.0,46.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 03:00:00,0.6,1023.3,15,256.0,1.3,Haze,149.0,138.28571428571428,40.0,1.6,50.0,47.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 04:00:00,1.7,1022.2,11,230.0,1.9,Sunny/clear,97.0,133.57142857142858,37.0,1.1,64.0,38.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 05:00:00,3.7,1021.1,10,180.0,1.3,Sunny/clear,86.0,128.85714285714286,33.0,0.9,74.0,42.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 06:00:00,4.1,1020.3,10,231.0,1.7,Sunny/clear,82.0,124.14285714285714,27.0,0.9,87.0,34.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 07:00:00,4.4,1020.0,10,240.0,1.8,Sunny/clear,79.0,119.42857142857144,26.0,0.9,95.0,33.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 08:00:00,4.1,1020.4,12,221.0,3.2,Sunny/clear,88.0,114.71428571428572,27.0,0.9,99.0,36.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 09:00:00,2.6,1021.1,14,222.0,2.6,Sunny/clear,96.0,110.0,32.0,0.1,97.0,37.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 10:00:00,0.7,1021.8,16,218.0,2.0,Haze,108.0,134.0,51.0,1.8,75.0,40.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 11:00:00,0.7,1022.6,18,217.0,1.0,Haze,120.0,143.0,71.0,1.5,49.0,43.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 12:00:00,-2.5,1023.5,23,313.0,0.2,Haze,136.0,161.0,66.0,1.5,49.0,49.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 13:00:00,-3.9,1024.4,27,88.0,1.1,Haze,140.0,158.0,58.0,1.6,49.0,50.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 14:00:00,-5.6,1025.3,53,16.0,2.1,Haze,163.0,183.0,76.0,2.2,26.0,60.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 15:00:00,-2.3,1026.3,23,81.0,2.1,Sunny/clear,121.0,108.5,74.0,1.7,23.0,41.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 16:00:00,-0.9,1027.2,21,53.0,2.8,Sunny/clear,31.0,34.0,42.0,0.9,38.0,16.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 17:00:00,-1.3,1027.9,20,76.0,3.1,Sunny/clear,19.0,32.0,49.0,0.7,28.0,49.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 18:00:00,-1.4,1028.7,19,63.0,3.3,Sunny/clear,13.0,35.0,38.0,0.6,37.0,31.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 19:00:00,-2.0,1029.3,18,50.0,2.9,Sunny/clear,13.0,26.0,25.0,0.5,46.0,12.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 20:00:00,-2.3,1030.2,18,58.0,2.8,Sunny/clear,10.0,21.0,25.0,0.5,45.0,15.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 21:00:00,-2.6,1030.8,19,66.0,3.8,Sunny/clear,10.0,21.0,16.0,0.4,54.0,5.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 22:00:00,-2.9,1031.5,20,41.0,4.0,Sunny/clear,7.0,21.0,19.0,0.4,53.0,6.0
fangshan,116.19416666666667,39.77305555555555,2017-01-31 23:00:00,-2.9,1031.7,19,54.0,4.8,Sunny/clear,11.0,21.0,38.0,0.6,36.0,37.0
fangshan,116.19416666666667,39.77305555555555,2017-02-01 00:00:00,-3.2,1032.7,21,60.0,4.5,Sunny/clear,13.0,25.0,45.0,0.6,31.0,35.0
