station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather,PM2.5,PM10,NO2,CO,O3,SO2
mentougou,116.15638888888893,39.88777777777778,2017-01-30 16:00:00,-2.7,1021.4,17,203.0,1.8,Haze,102.0,122.0,36.0,0.1,46.0,27.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 17:00:00,-3.2,1021.2,19,233.0,1.4,Haze,127.0,135.0,36.0,1.3,40.0,32.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 18:00:00,-3.6,1020.9,19,189.0,0.9,Haze,123.0,120.6,38.0,1.5,33.0,32.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 19:00:00,-3.7,1020.3,21,216.0,1.8,Haze,91.0,106.2,27.0,1.5,38.0,23.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 20:00:00,-4.1,1019.5,23,200.0,0.9,Haze,78.0,91.8,23.0,1.8,41.0,21.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 21:00:00,-4.6,1019.1,27,357.0,0.2,Haze,69.0,77.4,22.0,1.4,44.0,19.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 22:00:00,-4.5,1018.7,28,248.0,0.8,Haze,60.0,63.0,26.0,1.3,42.0,23.0
mentougou,116.15638888888893,39.88777777777778,2017-01-30 23:00:00,-4.8,1018.8,30,268.0,0.8,Haze,70.0,78.0,33.0,1.5,32.0,28.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 00:00:00,-5.2,1018.9,33,245.0,0.5,Haze,78.0,87.0,43.0,1.8,19.0,32.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 01:00:00,-3.6,1018.9,29,253.0,0.5,Haze,71.0,85.0,35.0,1.6,27.0,29.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 02:00:00,-1.1,1018.7,17,309.0,0.7,Haze,67.0,83.0,29.0,1.3,45.0,27.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 03:00:00,0.7,1018.7,14,145.0,1.7,Sunny/clear,74.0,81.0,38.0,0.1,59.0,24.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 04:00:00,1.7,1017.6,14,102.0,2.4,Sunny/clear,79.0,88.0,34.0,0.1,67.0,23.0
mentougou,116.15638888888893,39.88777777777778,2017-01-31 05:00:00,2.7,1016.4,13,97.0,2.4,Sunny/clear,92.0,95.0,34.0,0.1,71.0,23.0
