station_id,longitude,latitude,utc_time,temperature,pressure,humidity,wind_direction,wind_speed,weather,PM2.5,PM10,NO2,CO,O3,SO2
pinggu,117.11777777777776,40.16944444444445,2017-01-30 16:00:00,-6.0,1029.0,29,114.0,1.0,Haze,54.0,61.0,23.0,1.3,38.0,14.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 17:00:00,-6.0,1028.6,31,83.0,1.4,Haze,50.0,64.0,24.0,1.4,36.0,13.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 18:00:00,-6.1,1028.4,34,97.0,1.0,Haze,63.0,67.0,22.0,1.6,38.0,15.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 19:00:00,-6.3,1027.7,36,82.0,1.2,Haze,56.0,70.0,19.0,0.1,40.0,17.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 20:00:00,-6.0,1026.7,35,90.0,1.1,Sunny/clear,58.0,73.0,20.0,1.2,37.0,18.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 21:00:00,-7.0,1026.1,37,65.0,1.1,Sunny/clear,61.0,76.0,26.0,1.3,34.0,17.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 22:00:00,-6.3,1025.7,33,120.0,0.8,Sunny/clear,70.0,79.0,31.0,1.7,32.0,22.0
pinggu,117.11777777777776,40.16944444444445,2017-01-30 23:00:00,-7.2,1025.7,42,92.0,0.9,Sunny/clear,74.0,82.0,40.0,1.8,22.0,22.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 00:00:00,-8.3,1025.8,47,78.0,0.6,Sunny/clear,79.0,85.0,44.0,1.9,20.0,23.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 01:00:00,-5.9,1025.9,36,348.0,0.7,Haze,95.0,114.0,47.0,2.2,22.0,30.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 02:00:00,-2.5,1025.7,24,248.0,0.8,Haze,181.0,110.77777777777776,58.0,3.9,27.0,63.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 03:00:00,0.0,1025.3,18,232.0,1.6,Haze,160.0,107.55555555555556,46.0,2.6,45.0,45.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 04:00:00,1.2,1024.4,15,258.0,2.6,Sunny/clear,134.0,104.33333333333331,31.0,1.5,70.0,35.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 05:00:00,2.6,1023.1,14,250.0,3.4,Sunny/clear,111.0,101.11111111111111,24.0,1.2,81.0,29.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 06:00:00,3.8,1022.2,12,255.0,3.1,Sunny/clear,87.0,97.88888888888889,24.0,0.9,83.0,24.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 07:00:00,4.5,1021.8,12,250.0,3.1,Sunny/clear,63.0,94.66666666666666,20.0,0.6,82.0,21.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 08:00:00,4.9,1021.7,11,299.0,2.8,Sunny/clear,56.0,91.44444444444444,18.0,0.5,82.0,18.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 09:00:00,3.9,1022.8,13,274.0,1.5,Sunny/clear,56.0,88.22222222222223,20.0,0.5,80.0,17.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 10:00:00,0.6,1023.5,17,252.0,1.3,Sunny/clear,68.0,85.0,34.0,0.9,65.0,29.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 11:00:00,-1.5,1024.4,21,303.0,1.3,Haze,91.0,113.0,41.0,1.2,57.0,33.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 12:00:00,-3.2,1025.4,26,264.0,1.7,Haze,112.0,86.33333333333333,49.0,1.7,44.0,40.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 13:00:00,0.1,1026.3,17,11.0,3.6,Haze,80.0,59.66666666666666,33.0,1.1,52.0,22.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 14:00:00,0.1,1027.5,17,354.0,3.2,Sunny/clear,28.0,33.0,11.0,0.4,68.0,7.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 15:00:00,-0.6,1028.7,18,332.0,3.0,Sunny/clear,23.0,32.0,8.0,0.4,70.0,7.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 16:00:00,-0.7,1029.6,19,339.0,3.6,Sunny/clear,17.0,30.0,8.0,0.4,68.0,5.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 17:00:00,-1.1,1030.3,18,345.0,3.4,Sunny/clear,20.0,23.0,7.0,0.4,69.0,4.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 18:00:00,-1.9,1031.1,19,333.0,2.5,Sunny/clear,15.0,16.0,5.0,0.4,71.0,5.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 19:00:00,-3.2,1031.9,23,298.0,2.5,Sunny/clear,13.0,15.0,5.0,0.3,70.0,4.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 20:00:00,-3.7,1032.5,24,307.0,3.3,Sunny/clear,11.0,14.0,5.0,0.3,68.0,3.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 21:00:00,-4.5,1033.3,25,286.0,2.3,Sunny/clear,9.0,11.0,5.0,0.3,68.0,4.0
pinggu,117.11777777777776,40.16944444444445,2017-01-31 22:00:00,-4.0,1033.7,20,310.0,3.6,Sunny/clear,13.0,14.0,5.0,0.3,72.0,3.0
