stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2017-01-01 14:00:00,453.0,467.0,156.0,7.2,3.0,9.0
aotizhongxin_aq,2017-01-01 15:00:00,417.0,443.0,143.0,6.8,2.0,8.0
aotizhongxin_aq,2017-01-01 16:00:00,395.0,467.0,141.0,6.9,3.0,8.0
aotizhongxin_aq,2017-01-01 17:00:00,420.0,484.0,139.0,7.4,3.0,9.0
aotizhongxin_aq,2017-01-01 18:00:00,453.0,520.0,157.0,7.6,4.0,9.0
aotizhongxin_aq,2017-01-01 19:00:00,429.0,492.7,141.0,6.5,3.0,9.0
aotizhongxin_aq,2017-01-01 20:00:00,211.0,465.4,110.0,3.3,3.5,11.0
aotizhongxin_aq,2017-01-01 21:00:00,116.0,438.1,87.0,2.2,4.0,13.0
aotizhongxin_aq,2017-01-01 22:00:00,51.0,410.8,58.0,1.3,26.0,14.0
aotizhongxin_aq,2017-01-01 23:00:00,38.0,383.5,55.0,1.1,28.0,14.0
aotizhongxin_aq,2017-01-02 00:00:00,21.0,356.2,40.0,0.7,42.0,16.0
aotizhongxin_aq,2017-01-02 01:00:00,16.0,328.9,40.0,0.8,44.0,18.0
aotizhongxin_aq,2017-01-02 02:00:00,23.0,301.6,42.0,0.7,45.0,17.0
aotizhongxin_aq,2017-01-02 03:00:00,18.0,274.29999999999995,30.0,0.6,59.0,14.0
aotizhongxin_aq,2017-01-02 04:00:00,58.0,247.0,76.0,2.4,46.0,12.0
aotizhongxin_aq,2017-01-02 05:00:00,176.0,229.0,99.0,0.3,42.0,17.0
aotizhongxin_aq,2017-01-02 06:00:00,109.0,211.0,86.0,2.6,58.0,14.0
aotizhongxin_aq,2017-01-02 07:00:00,267.0,215.73076923076923,125.0,4.2,53.0,19.0
aotizhongxin_aq,2017-01-02 08:00:00,260.0,220.46153846153845,115.0,3.9,56.0,18.0
aotizhongxin_aq,2017-01-02 09:00:00,212.0,225.19230769230768,112.0,3.6,50.0,14.0
aotizhongxin_aq,2017-01-02 10:00:00,183.0,229.92307692307693,111.0,0.3,33.0,14.0
aotizhongxin_aq,2017-01-02 11:00:00,136.0,234.65384615384616,89.0,2.3,41.0,14.0
aotizhongxin_aq,2017-01-02 12:00:00,137.0,239.3846153846154,89.0,2.2,35.0,13.0
aotizhongxin_aq,2017-01-02 13:00:00,125.0,244.1153846153846,90.0,2.1,28.0,13.0
aotizhongxin_aq,2017-01-02 14:00:00,153.0,248.84615384615384,108.0,2.5,13.0,14.0
aotizhongxin_aq,2017-01-02 15:00:00,165.0,253.5769230769231,126.0,3.1,2.0,14.0
aotizhongxin_aq,2017-01-02 16:00:00,225.0,258.3076923076923,148.0,4.9,4.0,23.0
